path	error
calculix__CalculiX-Examples/NonLinear/Cut/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Cut/all.msh'
calculix__CalculiX-Examples/NonLinear/Honeycomb/Biegung.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Honeycomb/all.msh'
calculix__CalculiX-Examples/NonLinear/Rohrknie/shell-modal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
calculix__CalculiX-Examples/NonLinear/Rohrknie/shell-sym-modal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
calculix__CalculiX-Examples/NonLinear/Rohrknie/solid-modal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
calculix__CalculiX-Examples/NonLinear/Rohrknie/solid-static.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
calculix__CalculiX-Examples/NonLinear/Rohrknie/solid-sym-modal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
calculix__CalculiX-Examples/NonLinear/Sandwichtest/Biegung.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Sandwichtest/all.msh'
calculix__CalculiX-Examples/NonLinear/Sections/Biegung.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Sections/all.msh'
calculix__CalculiX-Examples/NonLinear/Sections/Plastic/Biegung.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Sections/Plastic/all.msh'
calculix__CalculiX-Examples/NonLinear/TensileTest/Zug.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/TensileTest/all.msh'
calculix__CalculiX-Examples/Pillow/static.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Pillow/all.msh'
calculix__CalculiX-Examples/RVE/Periodic/Solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/RVE/Periodic/all.msh'
calculix__CalculiX-Examples/RVE/PlanarSlide/Zug.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/RVE/PlanarSlide/all.msh'
calculix__CalculiX-Examples/RVE/PlaneOrtho1/Zug.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/RVE/PlaneOrtho1/all.msh'
calculix__CalculiX-Examples/Streifen/b.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Streifen/all.msh'
calculix__CalculiX-Examples/Streifen/sck.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Streifen/all.msh'
calculix__CalculiX-Examples/Streifen/sh.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Streifen/all.msh'
calculix__CalculiX-Examples/Streifen/sm.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Streifen/all.msh'
calculix__CalculiX-Examples/Streifen/sr.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Streifen/all.msh'
calculix__CalculiX-Examples/Test/Beam/modal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Beam/all.msh'
calculix__CalculiX-Examples/Test/BeamSections/b32.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/BeamSections/b32.msh'
calculix__CalculiX-Examples/Test/Distributing/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Distributing/all.msh'
calculix__CalculiX-Examples/Test/Joints/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Joints/all.msh'
calculix__CalculiX-Examples/Test/Joints/solve2.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Joints/all.msh'
calculix__CalculiX-Examples/Test/Meanrot/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Meanrot/all.msh'
calculix__CalculiX-Examples/Test/NodalForces/solid.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/NodalForces/all.msh'
calculix__CalculiX-Examples/Test/Supports/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Supports/all.msh'
calculix__CalculiX-Examples/Test/Supports/trans.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Supports/all.msh'
calculix__CalculiX-Examples/Test/Supports/trfix.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Supports/all.msh'
